nr,id,idh,idl,ev1,varh,varl,xh,yh,pxh,pyh,xl,yl,pxl,pyl,dh,dl,b,start,trial,state,hvalue,lvalue,prhv_rsft,prstate
9,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,11,0,2,1,0.18,0.18,0.5,0.55
9,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,11,0,2,4,0.51,0.48,0.53742984534375,0.3
9,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,11,0,2,7,0.72,0.84,0.354343693774204,0.15
9,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,11,0,3,2,0,0,0.5,0.3025
9,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,11,0,3,5,0.3,0,0.817574401620406,0.342351848963437
9,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,11,0,3,8,0.3,0.6,0.182425523806356,0.237704081634619
9,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,11,0,3,11,1,1,0.5,0.0802596185206159
9,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,11,0,3,14,1,1,0.5,0.0159454662198392
10,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,12,0,1,0,0.378,0.378,0.5,1
10,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,12,0,2,1,0.18,0.18,0.5,0.55
10,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,12,0,2,4,0.51,0.48,0.53742984534375,0.3
10,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,12,0,2,7,0.72,0.84,0.354343693774204,0.15
10,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,12,0,3,2,0,0,0.5,0.3025
10,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,12,0,3,5,0.3,0,0.817574401620406,0.342351848963437
10,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,12,0,3,8,0.3,0.6,0.182425523806356,0.237704081634619
10,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,12,0,3,11,1,1,0.5,0.0802596185206159
10,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,12,0,3,14,1,1,0.5,0.0159454662198392
11,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,13,0,1,0,0.216,0.144,0.589040434058665,1
11,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,13,0,2,1,0.09,0,0.610639115069735,0.647944477464532
11,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,13,0,2,4,0.18,0.18,0.5,0.353424260435199
