betadraw,trial,state,prhv_rsft,prstate,hvalue,lvalue,numberOfdraws,sampleNR,count_xh,count_xl,xh,yh,xl,yl,pxh,pyh,pxl,pyl,b,count_yh,count_yl,pmax,nr,id,bxh,bxl,byh,byl,start
516,3,9,0.934833015123664,0.311086386837944,0.532683089226026,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.532683089226026,0.913582228878523,0.467316910773974,0.0864177711214773,0
516,3,10,0.934833015123664,0.608159020375436,0.532683089226026,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.532683089226026,0.913582228878523,0.467316910773974,0.0864177711214773,0
516,3,12,0.934833015123664,0.0575271118099371,0.532683089226026,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.532683089226026,0.913582228878523,0.467316910773974,0.0864177711214773,0
516,3,16,0.5,0.174074614246859,1,1,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.532683089226026,0.913582228878523,0.467316910773974,0.0864177711214773,0
517,1,0,0.654849021759448,1,0.219987806406592,0.0919032526981677,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,2,1,0.612899295494862,0.456327943984346,0.0919032526981677,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,2,2,0.612899295494862,0.483200422994253,0.0919032526981677,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,2,4,0.612899295494862,0.171648598765195,0.0919032526981677,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,2,8,0.741975407616122,0.198521077775102,0.514407732517069,0.303155492607618,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,3,2,0.5,0.194895614890991,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,3,3,0.5,0.412745459911097,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,3,4,0.5,0.218525715384243,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,3,5,0.5,0.146620690854152,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,3,6,0.5,0.155254966903509,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,3,8,0.5,0.0275758218041139,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,3,9,0.81991577493914,0.187431093828201,0.303155492607618,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,3,10,0.81991577493914,0.19846863426617,0.303155492607618,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,3,12,0.81991577493914,0.0705025520456449,0.303155492607618,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
517,3,16,0.5,0.0446541242660057,1,1,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.303155492607618,0.737880651781369,0.696844507392382,0.262119348218631,0
518,1,0,0.756615861057428,1,0.435744273902171,0.208901341558077,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
